#ID x_center y_center area perimeter shape_factor radius_deviation slope_angle intercept connectivity ep1_x ep1_y ep2_x ep2_y length thickness
 1 2756.46   22.21  119.8  118.4  0.107   0.51 -59.01 4611.87  2 2745.63 40.40 2765.61 7.12   38.8    3.2
 2 2738.51   54.95   49.2   67.0  0.138   0.56 -58.74 4566.52  3 2731.33 66.92 2743.38 47.07   23.2    2.0
 3 2722.45   82.69   80.0   85.1  0.139   0.54 -59.29 4665.76  5 2713.68 97.52 2729.81 70.36   31.6    2.3
 4 3475.71  132.73   29.7   43.5  0.198   0.63 -57.62 5613.70  9 3472.26 137.91 3480.68 124.65   15.7    1.9
 5 2657.81  194.94  128.0  118.9  0.114   0.66 -59.45 4698.18  6 2645.89 215.86 2667.00 180.10   41.5    2.7
 6 2634.88  235.87  108.7   96.6  0.146   0.55 -60.69 4928.50  7 2625.70 252.03 2643.43 220.46   36.2    2.7
 7 2598.45  301.78  138.6  155.5  0.072   0.59 -59.62 4733.46  8 2586.20 322.55 2614.34 274.56   55.6    2.5
 8 2554.32  377.59  103.3  107.3  0.113   0.53 -61.58 5098.33 11 2544.54 395.56 2563.99 359.62   40.9    2.3
 9 3333.71  380.74   40.2   54.5  0.170   0.62 -59.98 6150.91 12 3327.87 390.77 3338.96 371.58   22.2    1.7
10 4761.84  387.71   39.9   67.1  0.111   0.56 -58.55 8173.52 13 4755.22 398.45 4768.90 376.08   26.2    1.5
11 2526.44  428.94   36.7   63.4  0.115   0.52 -57.41 4381.04 14 2521.49 436.81 2532.81 419.11   21.0    2.0
12 3300.70  437.56   37.5   55.0  0.156   0.64 -56.67 5456.41 -1 3294.74 446.68 3306.79 428.37   21.9    1.6
13 4723.59  454.45   24.3   50.1  0.122   0.64 -58.43 8139.92 -1 4719.48 460.59 4728.51 445.89   17.3    1.4
14 2473.49  517.58   37.7   52.7  0.171   0.52 -46.92 3162.53 -1 2469.26 521.71 2477.14 513.28   11.5    3.8
15 5358.37  755.40  123.9  103.9  0.144   0.51 -55.10 8435.22 16 5347.70 770.47 5369.14 739.73   37.5    3.1
16 5337.28  792.27   78.6   70.7  0.197   0.54 -54.53 8282.57 17 5330.29 801.47 5345.53 780.08   26.3    2.5
17 5308.29  843.38   62.4   64.7  0.187   0.54 -57.20 9080.07 18 5301.93 853.09 5315.35 832.27   24.8    2.4
18 5289.68  874.93   58.9   66.8  0.166   0.53 -57.98 9332.79 19 5283.07 885.37 5295.20 865.98   22.9    2.5
19 5263.12  921.43  114.2  117.1  0.105   0.53 -59.19 9747.50 20 5251.01 941.83 5276.11 899.72   49.0    2.4
20 5234.99  970.98   17.1   34.5  0.181   0.62 -55.59 8613.44 21 5230.90 977.28 5237.64 967.44   11.9    1.6
21 5211.42 1012.39   61.4   70.3  0.156   0.54 -55.30 8537.88 22 5204.63 1022.32 5219.62 1000.67   26.3    2.3
22 5196.95 1037.46   52.0   61.2  0.174   0.51 -58.56 9537.95 23 5190.87 1046.89 5202.64 1027.65   22.6    2.2
