#ID x_center y_center area perimeter shape_factor radius_deviation slope_angle intercept connectivity ep1_x ep1_y ep2_x ep2_y length thickness
23 5176.23 1073.62  126.7  146.4  0.074   0.54 -60.17 10102.00 24 5164.39 1094.02 5190.18 1049.03   51.9    2.3
24 5137.63 1141.35   28.7   46.9  0.164   0.50 -50.70 7418.44 25 5133.10 1146.62 5141.56 1136.28   13.4    1.9
25 5120.94 1169.91   68.2   73.9  0.157   0.54 -56.64 8946.77 26 5113.56 1180.88 5129.20 1157.13   28.4    2.4
26 5073.41 1252.73   40.5   53.3  0.179   0.53 -56.64 8957.41 28 5067.94 1261.10 5078.82 1244.57   19.8    1.8
27 1938.79 1567.12 6953.8 1945.7  0.023   0.55 -60.22 4954.51 34 1759.17 1880.10 2107.99 1270.49  702.4    9.9
28 5049.48 1295.17   84.4  114.3  0.081   0.56 -59.81 9973.71 29 5038.78 1313.28 5060.51 1275.93   43.2    2.0
29 5020.23 1348.22   33.4   51.0  0.161   0.50 -60.30 10149.85 -1 5015.18 1357.33 5024.30 1341.34   18.4    1.6
30  350.02 1418.21   52.0   58.1  0.194   0.51 -59.80 2019.14 31 344.84 1426.73 355.21 1408.91   20.6    2.2
31  333.62 1446.83   55.4   74.9  0.124   0.57 -61.47 2060.22 32 327.75 1457.33 340.07 1434.68   25.8    2.2
32  243.58 1605.59   42.3   61.5  0.141   0.61 -55.17 1955.60 -1 237.66 1613.99 248.67 1598.16   19.3    2.2
33  692.86 2031.53   34.9   49.5  0.179   0.57 -53.50 2967.86 -1 687.95 2038.18 698.02 2024.57   16.9    1.7
34 1480.16 2070.35   99.1   92.2  0.146   0.56 -56.37 4295.96 35 1470.98 2084.43 1487.67 2059.34   30.1    2.8
35 1422.74 2167.13   99.6  140.9  0.063   0.54 -58.33 4473.30 36 1411.47 2184.82 1433.38 2149.29   41.7    2.8
36 1400.94 2207.84   70.8   85.9  0.121   0.52 -59.85 4619.87 37 1393.09 2221.52 1407.84 2196.13   29.4    2.2
37 1369.07 2261.58  155.0  124.9  0.125   0.57 -56.85 4357.40 38 1358.30 2278.13 1382.06 2241.76   43.4    2.8
38 1285.40 2410.77  119.7  137.8  0.079   0.60 -60.33 4666.79 39 1274.20 2430.03 1295.53 2392.59   43.1    2.9
39 1184.19 2587.27   66.6   96.4  0.090   0.50 -56.50 4376.99 42 1175.98 2600.15 1192.07 2575.83   29.2    2.2
40 2328.14 3073.46   36.2   48.2  0.196   0.51 -56.30 6564.97 41 2323.14 3080.93 2333.29 3065.70   18.3    1.7
41 2292.70 3134.68   45.7   72.3  0.110   0.56 -59.00 6950.93 43 2286.40 3144.99 2300.35 3121.77   27.1    1.7
42  676.73 3437.14 4129.6 1447.9  0.025   0.57 -60.16 4616.15 -1 554.87 3648.84 791.37 3236.56  475.3    8.7
43 2202.00 3294.14   21.1   37.3  0.191   0.53 -59.16 6981.43 44 2198.29 3300.18 2205.38 3288.31   13.8    1.5
44 2064.07 3534.54   24.9   43.3  0.167   0.58 -60.29 7152.18 -1 2060.14 3541.37 2067.56 3528.36   15.0    2.0
45 3127.18 3590.41  130.7  130.9  0.096   0.61 -57.45 8489.36 -1 3114.94 3609.32 3138.08 3573.07   43.0    3.2
