#ID x_center y_center area perimeter shape_factor radius_deviation slope_angle intercept connectivity ep1_x ep1_y ep2_x ep2_y length thickness
 1 2380.95 1123.73   14.5   32.0  0.178   0.55 51.99 -1922.38 -1 2378.69 1120.63 2383.18 1126.37    7.3    3.8
 2  190.41 1365.80  137.2  167.9  0.061   0.60 82.83 -148.34  3 185.85 1329.77 194.57 1399.13   69.9    2.2
 3  207.60 1538.59  436.3  464.7  0.025   0.57 83.54 -294.58  5 195.51 1432.04 217.90 1629.72  198.9    2.3
 4  219.31 1647.01   12.6   29.6  0.180   0.52 25.62 1541.40 -1 219.40 1646.63 219.99 1646.91    0.6    5.3
 5  225.61 1724.74   25.6   43.1  0.173   0.67 58.92 1350.18  6 222.54 1719.42 228.75 1729.72   12.0    4.3
 6  228.64 1764.17   87.0  125.9  0.069   0.56 83.08 -118.44 -1 225.66 1740.45 231.99 1792.55   52.5    1.9
 7 1383.57 3508.47  364.3  385.8  0.031   0.61 84.41 -10623.83  8 1376.37 3436.28 1391.88 3594.72  159.2    2.2
 8 1395.67 3624.35  122.1  143.5  0.074   0.53 80.77 -4967.42 -1 1391.17 3597.43 1400.46 3654.64   58.0    2.2
