#ID x_center y_center area perimeter shape_factor radius_deviation slope_angle intercept connectivity ep1_x ep1_y ep2_x ep2_y length thickness
 1 1809.97   87.08  239.1  233.4  0.055   0.57 -60.33 3263.48  4 1785.91 129.20 1832.80 46.90   94.7    2.5
 2 1326.87  107.03   54.3   77.4  0.114   0.58 -60.18 2421.86  3 1318.46 121.69 1333.69 95.11   30.6    1.9
 3 1308.02  139.41   48.9   65.2  0.144   0.66 -57.91 2225.03  7 1300.98 150.38 1314.23 129.24   24.9    2.2
 4 1759.64  175.81  173.9  178.1  0.069   0.54 -60.52 3287.75  5 1741.91 206.84 1775.82 146.87   68.9    2.6
 5 1734.84  219.48   52.1   70.3  0.133   0.54 -56.50 2840.34  6 1728.10 229.31 1741.11 209.65   23.6    2.4
 6 1705.98  269.71  106.5  142.8  0.066   0.56 -60.58 3294.77  8 1694.59 289.92 1720.70 243.63   53.2    2.1
 7 1215.03  301.09   62.1   78.2  0.128   0.57 -61.03 2495.69 18 1207.60 314.58 1222.79 287.13   31.4    1.9
 8 1654.34  360.84  151.1  142.1  0.094   0.57 -59.48 3166.31  9 1639.98 384.86 1668.82 335.95   56.8    2.7
 9 1605.33  448.36  133.7  192.2  0.045   0.58 -59.23 3144.16 11 1587.65 478.09 1623.17 418.46   69.4    2.1
10   27.77  550.07   17.6   39.9  0.139   0.59 -56.03  591.31 -1 22.59 557.79 31.13 545.12   15.3    1.2
11 1522.83  591.48  101.5  106.5  0.113   0.56 -59.58 3184.70 12 1511.07 611.56 1532.15 575.66   41.6    2.3
12 1505.08  621.11   34.5   52.0  0.161   0.50 -47.87 2284.53 13 1500.86 625.38 1510.30 614.95   14.1    2.2
13 1486.19  653.66  167.9  177.4  0.067   0.56 -60.78 3310.34 14 1470.72 681.02 1499.87 628.89   59.7    2.9
14 1457.61  706.35   30.6   46.0  0.182   0.52 -59.26 3157.80 15 1453.54 713.24 1462.25 698.59   17.0    1.8
15 1436.28  742.81  159.2  146.8  0.093   0.57 -60.38 3269.28 -1 1421.77 768.20 1450.61 717.47   58.3    2.6
16 5001.76  757.91   62.9  103.4  0.074   0.61 -59.18 9141.51 17 4991.41 775.30 5011.90 740.96   40.0    1.8
17 4855.90 1014.79   37.8   52.7  0.171   0.56 -57.21 8551.96 -1 4851.05 1022.56 4861.16 1006.86   18.7    2.1
18  760.83 1097.58   36.3   51.3  0.173   0.58 -58.92 2359.84 -1 755.99 1105.69 765.87 1089.31   19.1    1.6
19 2699.28 1491.08   17.2   37.2  0.157   0.56 -58.33 5867.14 -1 2695.90 1496.33 2702.85 1485.06   13.2    1.2
20 1898.47 1527.33   69.8   72.7  0.166   0.60 -59.41 4738.88 21 1890.94 1540.04 1905.27 1515.80   28.2    2.2
21 1877.95 1563.98   10.5   27.7  0.172   0.52 -44.44 3405.38 22 1875.36 1566.54 1879.88 1562.10    6.3    1.9
22 1831.94 1643.34   33.6   54.5  0.142   0.58 -61.35 4996.12 23 1826.22 1653.68 1836.27 1635.30   20.9    1.4
23 1732.32 1817.40   54.3   65.7  0.158   0.57 -59.99 4816.34 24 1725.45 1829.33 1738.70 1806.39   26.5    2.0
24 1561.50 2119.00   71.7   88.2  0.116   0.55 -62.90 5170.47 25 1553.97 2133.71 1569.42 2103.50   33.9    2.1
25 1439.08 2332.15   46.9   73.1  0.110   0.57 -55.02 4388.89 27 1433.02 2340.48 1445.94 2322.01   22.5    2.0
26 4409.86 2415.84   14.7   30.8  0.194   0.56 -61.54 10552.39 29 4407.19 2420.77 4412.87 2410.30   11.9    1.1
27 1294.59 2586.45   17.9   36.4  0.169   0.50 -58.61 4707.89 28 1291.20 2592.04 1298.23 2580.52   13.5    1.4
28 1280.22 2611.73   11.0   28.7  0.167   0.55 -58.32 4686.12 -1 1277.13 2616.77 1283.17 2606.98   11.5    1.0
29 4249.75 2696.63   61.6   97.9  0.081   0.58 -59.12 9804.32 30 4239.95 2713.03 4260.20 2679.17   39.5    1.5
30 4160.32 2854.59   46.0   61.8  0.151   0.56 -60.62 10243.87 31 4154.15 2865.68 4165.64 2845.28   23.4    1.9
31 4103.92 2952.27   32.3   54.2  0.138   0.63 -59.27 9856.24 32 4098.43 2961.49 4109.30 2943.20   21.3    1.4
32 4085.52 2984.03   40.8   54.6  0.172   0.54 -58.43 9632.23 33 4080.42 2992.30 4090.87 2975.29   20.0    1.8
33 4035.92 3071.12   66.0  103.7  0.077   0.55 -60.23 10127.83 34 4026.59 3087.52 4047.09 3051.67   41.3    1.6
34 3933.28 3250.59   11.0   31.2  0.142   0.59 -54.45 8755.18 35 3929.95 3255.04 3936.46 3245.94   11.2    1.0
35 3781.79 3517.10   66.4   87.1  0.110   0.53 -58.51 9691.58 -1 3772.88 3531.63 3791.52 3501.19   35.7    1.8
36  573.16 3657.98   14.1   32.4  0.169   0.56 -53.88 4443.21 -1 570.63 3661.32 577.07 3652.50   10.9    1.6
