#ID x_center y_center area perimeter shape_factor radius_deviation slope_angle intercept connectivity
 1 3240.11  169.26 2513.8  832.9  0.046   0.56 -81.70 22371.73 -1
 2 5258.33  199.05  199.3  132.3  0.143   0.52 -63.14 10580.87 -1
 3 4603.03  700.68   43.9   53.4  0.193   0.59 18.07 -799.30 -1
 4 2025.13  710.61  106.7  101.8  0.129   0.64 -63.87 4839.72 -1
 5 1320.64  895.49   56.8   63.9  0.175   0.53 -36.49 1871.73 -1
 6 2605.23 3138.27  239.9  159.4  0.119   0.52 -61.73 7983.73 -1
 7 3796.62 3386.11   70.6   75.1  0.157   0.54 -45.70 7277.96 -1
 8 2056.93 3427.13  412.2  212.7  0.114   0.50 17.94 2763.56 -1
