#ID x_center y_center area perimeter shape_factor radius_deviation slope_angle intercept connectivity ep1_x ep1_y ep2_x ep2_y length thickness
26 5060.55 1170.51   69.1   89.3  0.109   0.55 75.47 -18349.88 27 5056.71 1154.94 5064.11 1183.46   29.5    2.8
27 5122.89 1306.82   89.3  104.8  0.102   0.59 78.52 -23927.49 33 5118.65 1286.15 5127.44 1329.47   44.2    2.0
28 5087.57 1335.29   79.2   98.3  0.103   0.57 77.96 -22510.42 30 5083.40 1315.35 5091.46 1353.12   38.6    2.1
29 1535.73 1386.56  305.3  255.9  0.059   0.52 80.13 -7440.92 31 1528.50 1344.89 1543.27 1429.78   86.2    3.7
30 5108.76 1463.40  113.2  131.5  0.082   0.57 79.59 -26349.40 32 5103.37 1434.07 5113.43 1488.84   55.7    2.1
31 1558.37 1527.70  340.3  380.9  0.029   0.56 80.71 -7996.40 -1 1547.26 1460.75 1569.22 1595.00  136.0    2.5
32 5114.75 1504.01   55.1   68.1  0.149   0.53 75.78 -18679.00 33 5111.51 1491.50 5118.11 1517.56   26.9    2.2
33 5162.84 1561.01   26.2   46.6  0.152   0.57 74.96 -17653.01 34 5160.35 1551.11 5165.18 1569.09   18.6    0.9
34 5165.33 1577.45   23.1   39.0  0.191   0.64 65.67 -9847.05 35 5162.88 1572.08 5168.25 1583.97   13.0    2.3
35 5200.45 1780.59   79.2   88.6  0.127   0.51 77.68 -22038.17 36 5196.84 1764.92 5204.07 1798.05   33.9    2.5
36 5293.11 2372.55   20.3   38.6  0.171   0.52 63.64 -8309.40 37 5290.27 2367.79 5295.51 2378.38   11.8    2.9
37 5306.96 2465.71   96.3  133.9  0.067   0.57 79.27 -25535.00 39 5301.86 2439.05 5312.04 2492.73   54.6    1.8
38   98.68 2747.57 1852.8 1094.3  0.019   0.57 80.54 2155.53 41 67.40 2559.86 129.72 2933.66  379.0    5.1
39 5332.49 2609.24   35.2   75.9  0.077   0.54 77.87 -22198.37 40 5329.43 2595.52 5335.32 2622.92   28.0    1.5
40 5372.93 2854.22  116.4  132.5  0.083   0.51 79.95 -27466.80 -1 5368.28 2828.42 5377.99 2883.20   55.6    2.2
41  140.53 2997.74   85.2  110.9  0.087   0.57 71.00 2590.65 42 135.55 2984.37 144.99 3011.80   29.0    4.0
42  154.51 3093.21  652.3  419.2  0.047   0.61 81.06 2111.77 44 142.53 3017.70 165.56 3164.13  148.2    4.8
43 4182.11 3257.60  109.0  119.0  0.097   0.55 76.59 -14284.71 46 4176.70 3234.96 4186.90 3277.76   44.0    2.6
44  210.34 3440.08 1486.1 1060.7  0.017   0.60 80.57 2175.14 -1 179.81 3257.53 239.44 3616.46  363.9    4.3
45 4469.56 3354.51  333.7  229.3  0.080   0.59 74.79 -13085.62 -1 4457.44 3310.21 4480.69 3395.73   88.6    3.8
46 4193.21 3321.48   49.6   72.0  0.120   0.58 75.40 -12775.97 47 4190.29 3311.08 4196.88 3336.36   26.1    2.2
47 4203.39 3382.84   33.3   60.6  0.114   0.55 77.64 -15801.63 48 4200.69 3370.41 4205.97 3394.49   24.7    1.6
48 4231.74 3546.80   91.5  115.5  0.086   0.57 78.67 -17579.16 49 4226.74 3521.79 4235.74 3566.76   45.9    2.1
49 4238.12 3587.69   51.8   78.6  0.105   0.54 72.89 -10177.27 50 4234.55 3577.46 4241.92 3601.42   25.1    2.4
50 4247.58 3655.91   33.3   49.9  0.168   0.51 62.25 -4419.24 -1 4245.24 3651.10 4251.38 3662.78   13.2    4.0
