#ID x_center y_center area perimeter shape_factor radius_deviation slope_angle intercept connectivity ep1_x ep1_y ep2_x ep2_y length thickness
 1 1329.29   74.23  128.2  133.8  0.090   0.51 76.93 -5651.63  2 1323.97 51.42 1334.73 97.75   47.6    3.0
 2 1350.52  218.95  439.7  428.1  0.030   0.57 81.48 -8799.00  7 1337.62 131.96 1362.35 297.03  166.9    2.9
 3 4904.71  189.40  283.1  266.1  0.050   0.55 79.64 -26647.94  5 4895.09 136.90 4914.88 245.19  110.1    2.6
 4 5394.42  204.45   20.9   40.9  0.157   0.53 67.29 -12684.57 11 5391.74 199.39 5397.31 212.69   14.4    1.2
 5 4916.42  253.87   13.6   29.4  0.197   0.54 62.51 -9195.73  6 4914.44 250.12 4918.66 258.23    9.1    2.0
 6 4926.54  314.48   57.8   82.4  0.107   0.53 72.93 -15724.52  8 4922.64 302.35 4930.26 327.17   26.0    2.7
 7 1381.16  404.04  537.4  486.7  0.029   0.64 80.60 -7939.76 10 1368.18 327.07 1396.48 498.10  173.4    3.2
 8 4934.58  365.03   68.5  105.1  0.078   0.56 78.43 -23737.45  9 4930.85 347.45 4938.25 383.60   36.9    1.9
 9 4950.41  475.74  324.3  303.9  0.044   0.62 79.64 -26613.35 12 4940.32 420.85 4962.44 541.92  123.1    2.5
10 1401.96  542.85  100.0  125.5  0.080   0.53 77.50 -5782.54 14 1396.86 518.98 1406.32 561.67   43.7    2.3
11 5457.86  614.94   89.5  113.5  0.087   0.52 76.95 -22929.90 -1 5453.34 594.96 5462.32 633.70   39.8    2.6
12 4973.77  603.24   16.4   40.9  0.123   0.52 64.92 -10022.40 15 4970.92 596.94 4976.07 607.93   12.1    2.3
13 4978.75  640.44   10.9   27.9  0.175   0.52 12.57 -469.39 -1 4980.26 640.72 4976.66 639.92    3.7    4.7
14 1426.35  679.74  179.5  224.6  0.045   0.58 81.06 -8386.64 16 1419.76 638.49 1433.44 725.45   88.0    2.1
15 4997.08  764.62   58.9   81.3  0.112   0.57 75.80 -18982.32 17 4993.37 750.33 5001.06 780.74   31.4    1.9
16 1440.76  783.32  127.4  115.6  0.120   0.50 78.80 -6493.34 19 1436.46 760.85 1445.13 804.61   44.6    3.2
17 5052.64  847.56   40.7   71.9  0.099   0.62 74.78 -17718.93 21 5049.66 836.98 5056.13 860.74   24.6    1.6
18 5024.82  936.78   71.9   84.3  0.127   0.51 75.38 -18328.54 20 5021.11 922.02 5028.56 950.61   29.5    3.2
19 1493.69 1125.73 1422.3 1120.7  0.014   0.56 80.76 -8056.63 29 1461.92 929.93 1527.04 1330.25  405.6    3.8
20 5031.70  996.11  170.3  135.2  0.117   0.55 78.55 -23848.80 22 5026.44 970.23 5036.74 1021.05   51.8    3.4
21 5075.43 1011.86   27.4   52.0  0.127   0.51 69.13 -12301.64 23 5072.52 1004.05 5078.30 1019.22   16.2    2.2
22 5036.98 1032.01   27.4   57.5  0.104   0.57 72.63 -15069.29 24 5034.38 1024.06 5039.84 1041.51   18.3    1.6
23 5085.80 1073.16   44.0   67.9  0.120   0.58 75.70 -18880.31 25 5082.51 1059.34 5088.74 1083.76   25.2    1.9
24 5045.48 1086.42   72.6   73.1  0.171   0.50 72.83 -15242.77 26 5041.87 1074.76 5049.31 1098.85   25.2    2.7
25 5089.88 1097.15   56.9   72.5  0.136   0.62 71.98 -14549.69 27 5086.31 1087.42 5093.72 1110.22   24.0    2.6
