#ID x_center y_center area perimeter shape_factor radius_deviation slope_angle intercept connectivity ep1_x ep1_y ep2_x ep2_y length thickness
 1 4482.90  248.85  147.1  164.5  0.068   0.61 29.50 -2287.86  2 4458.88 235.18 4508.48 263.25   57.0    2.5
 2 4517.76  269.30   22.2   45.3  0.135   0.53 26.74 -2006.96  3 4510.87 265.70 4524.55 272.59   15.3    1.4
 3 4534.65  277.49   52.7   65.3  0.155   0.57 26.78 -2010.80 -1 4527.54 273.93 4544.10 282.29   18.5    2.6
 4 1323.14 1676.44  351.8  249.8  0.071   0.61 30.17  907.09 -1 1278.82 1650.56 1364.96 1700.64   99.6    3.4
 5 2740.26 2591.79  316.2  250.4  0.063   0.58 29.84 1020.03 -1 2699.83 2568.62 2785.52 2617.77   98.8    3.2
 6  461.92 3110.32   97.9   87.9  0.159   0.56 27.76 2867.38  8 448.37 3103.39 476.27 3118.07   31.5    3.1
 7 3053.57 3140.02  437.3  245.8  0.091   0.59 30.55 1337.27 -1 3014.02 3116.55 3096.65 3165.33   96.0    4.6
 8  521.28 3145.04   23.2   44.4  0.148   0.63 30.38 2839.54 -1 514.94 3141.37 528.03 3149.05   15.2    1.5
