#ID x_center y_center area perimeter shape_factor radius_deviation slope_angle intercept connectivity ep1_x ep1_y ep2_x ep2_y length thickness
 1 2901.50 1383.21   17.4   39.2  0.143   0.62 42.82 -1306.78 -1 2899.30 1380.06 2903.58 1384.03    5.8    4.9
 2 2910.66 1470.00   92.0  114.0  0.089   0.57 80.40 -15733.73  5 2906.73 1447.17 2914.20 1491.29   44.7    2.1
 3 2914.84 1502.98   28.7   49.3  0.148   0.55 50.58 -2043.69  6 2911.99 1499.48 2917.92 1506.70    9.3    4.6
 4 2916.57 1516.43   11.9   29.7  0.169   0.53 -6.14 1830.64 -1 2916.91 1516.77 2915.09 1516.96    1.8    4.8
 5 2928.86 1588.95   30.5   52.4  0.140   0.52 75.51 -9747.37  6 2926.10 1578.45 2931.43 1599.09   21.3    1.4
 6 2932.74 1610.72   26.8   44.5  0.170   0.53 71.58 -7196.03  7 2930.09 1603.19 2935.22 1618.61   16.2    1.7
 7 2976.40 1874.09   77.9  115.5  0.073   0.58 80.15 -15271.76  8 2972.77 1852.23 2979.98 1893.76   42.2    2.0
 8 2981.31 1918.27   90.0  118.4  0.081   0.57 80.48 -15860.02  9 2977.66 1896.34 2985.22 1941.40   45.7    2.0
 9 2985.52 1955.64   44.1   62.9  0.140   0.51 71.92 -7186.52 11 2981.85 1944.88 2988.46 1965.14   21.3    2.5
10 2987.77 1971.68   11.0   26.5  0.196   0.53 47.08 -1240.74 -1 2985.93 1969.81 2989.25 1973.37    4.9    2.6
11 3000.08 2047.71   46.4   90.5  0.071   0.56 77.00 -10947.22 12 2996.11 2031.06 3004.12 2065.76   35.6    1.3
12 3030.39 2179.51   33.5   50.9  0.162   0.58 67.39 -5096.78 13 3027.16 2171.85 3033.36 2186.73   16.1    2.3
13 3035.25 2201.30   23.3   49.2  0.121   0.64 65.53 -4467.56 14 3032.20 2194.25 3038.72 2208.56   15.7    1.3
14 3040.92 2231.76   38.8   64.4  0.118   0.56 70.24 -6235.40 15 3037.56 2221.75 3044.28 2240.45   19.9    2.0
15 3047.41 2268.74   34.2   68.3  0.092   0.57 70.71 -6435.73 16 3044.42 2260.37 3050.93 2278.97   19.7    2.6
16 3062.02 2399.26   19.5   36.3  0.186   0.52 69.91 -5974.67 17 3060.01 2393.74 3064.53 2406.10   13.2    2.0
17 3070.86 2488.25   53.2   77.4  0.111   0.59 75.25 -9173.81 -1 3067.46 2474.84 3074.15 2500.25   26.3    2.4
