#ID x_center y_center area perimeter shape_factor radius_deviation slope_angle intercept connectivity ep1_x ep1_y ep2_x ep2_y length thickness
 1  600.01 1027.30   16.1   38.0  0.140   0.50 69.98 -619.37 -1 597.37 1020.04 602.44 1033.96   14.8    1.3
 2 5108.36 1902.02   88.8  113.2  0.087   0.59 72.54 -14340.78  3 5101.83 1881.27 5114.66 1922.08   42.8    2.1
 3 5116.82 1931.91   31.2   53.0  0.139   0.51 69.20 -11537.55  4 5114.19 1925.19 5120.15 1940.87   16.8    1.8
 4 5128.35 1971.03  129.1  146.7  0.075   0.56 72.38 -14176.66  5 5120.04 1944.72 5136.16 1995.46   53.2    2.5
 5 5173.00 2137.64   99.8  129.5  0.075   0.58 74.27 -16228.03  6 5166.58 2115.26 5179.58 2161.40   47.9    1.9
 6 5199.76 2238.46  121.6  134.4  0.085   0.54 74.03 -15930.89  7 5192.21 2211.86 5207.09 2263.82   54.0    2.2
 7 5214.15 2293.11   21.1   43.1  0.142   0.51 66.00 -9418.27  8 5211.88 2287.92 5216.75 2298.86   12.0    1.8
 8 5218.67 2311.62   37.1   54.4  0.157   0.56 70.69 -12583.33 -1 5215.91 2303.54 5222.07 2321.10   18.6    1.9
