#ID x_center y_center area perimeter shape_factor radius_deviation slope_angle intercept connectivity ep1_x ep1_y ep2_x ep2_y length thickness
 1  570.40  301.82   54.5   93.8  0.078   0.60 80.77 -3207.11 -1 567.16 281.25 573.28 318.91   38.2    1.7
 2 3501.86 2043.25   56.1   74.7  0.126   0.51 75.07 -11090.82  3 3498.15 2029.88 3505.16 2056.20   27.2    2.4
 3 3520.28 2176.69   79.7  112.6  0.079   0.56 77.91 -14257.08  4 3515.98 2156.52 3524.80 2197.73   42.1    1.7
 4 3528.30 2221.93   36.3   56.1  0.145   0.59 70.27 -7618.19  5 3525.26 2212.89 3531.74 2230.94   19.2    2.3
 5 3543.59 2300.28   42.7   65.7  0.124   0.53 68.12 -6525.09  6 3539.80 2291.08 3547.41 2310.01   20.4    2.2
 6 3548.31 2323.23   25.3   43.9  0.165   0.54 65.57 -5488.68  7 3545.52 2316.59 3551.24 2329.20   13.8    1.5
 7 3553.20 2351.94   30.4   55.3  0.125   0.55 70.74 -7819.69  8 3549.98 2342.58 3556.20 2360.39   18.9    1.8
 8 3561.72 2403.63   33.2   54.8  0.139   0.66 69.86 -7309.76  9 3558.56 2394.62 3564.96 2412.09   18.6    2.1
 9 3566.61 2437.89   19.4   38.0  0.169   0.57 68.47 -6602.09 10 3564.61 2433.60 3569.13 2445.06   12.3    2.2
10 3608.82 2720.21   70.0   98.4  0.091   0.54 77.71 -13845.46 11 3604.94 2702.45 3612.54 2737.34   35.7    1.9
11 3614.73 2756.93   72.1   96.6  0.097   0.63 74.05 -9891.16 -1 3610.03 2739.74 3619.09 2771.43   33.0    2.3
