#ID x_center y_center area perimeter shape_factor radius_deviation slope_angle intercept connectivity ep1_x ep1_y ep2_x ep2_y length thickness
 1 4775.07 1994.96  149.7  123.2  0.124   0.61 29.92 -752.63  2 4757.01 1984.61 4797.24 2007.76   46.4    3.1
 2 4831.77 2027.16  134.0  105.6  0.151   0.51 28.53 -599.61  3 4811.97 2016.42 4848.14 2036.08   41.2    3.1
 3 4867.37 2048.66  125.8  106.5  0.139   0.54 29.85 -745.10  4 4850.29 2038.74 4884.25 2058.23   39.2    3.0
 4 4927.17 2082.66  147.1  143.0  0.090   0.52 30.15 -779.15 -1 4905.36 2070.00 4949.80 2095.81   51.4    2.9
 5 4942.88 2751.84   44.3   55.1  0.184   0.52 30.14 -118.54  6 4934.05 2746.66 4952.08 2757.13   20.8    2.2
 6 4997.02 2784.81   21.4   37.8  0.188   0.51 22.75  689.55  7 4993.41 2783.17 5002.14 2786.83    9.5    1.9
 7 5026.91 2799.90   26.0   61.7  0.086   0.57 32.63 -418.68  8 5020.00 2795.43 5035.47 2805.33   18.4    1.5
 8 5058.94 2820.15   55.4   78.3  0.113   0.54 31.54 -284.48 -1 5045.67 2811.95 5071.98 2828.10   30.9    1.8
 9  209.10 3232.22   31.4   50.8  0.153   0.52 28.30 3119.68 -1 200.72 3227.75 217.55 3236.81   19.1    1.5
