#ID x_center y_center area perimeter shape_factor radius_deviation slope_angle intercept connectivity ep1_x ep1_y ep2_x ep2_y length thickness
 1 2763.66   17.64   17.7   36.4  0.168   0.52 63.48 -5519.95  8 2761.39 13.00 2766.10 22.45   10.6    1.9
 2 3663.04   28.40   55.6   72.2  0.134   0.54 70.90 -10547.52  3 3658.91 16.70 3667.06 40.23   24.9    3.0
 3 3668.42   64.78   90.9   96.6  0.122   0.55 76.94 -15749.71  4 3663.81 44.96 3672.52 82.51   38.5    2.6
 4 3676.39  118.46   82.6  107.3  0.090   0.58 77.18 -16033.07  5 3672.66 101.89 3681.29 139.81   38.9    2.6
 5 3684.36  162.44  106.5   96.3  0.144   0.55 76.17 -14802.68  6 3679.87 144.28 3688.92 181.05   37.9    3.3
 6 3694.41  219.25  166.2  164.2  0.077   0.57 79.03 -18834.99  7 3687.76 185.41 3701.17 254.57   70.4    2.4
 7 3705.26  290.03  133.6  124.2  0.109   0.53 79.48 -19667.23  9 3700.75 265.15 3709.87 314.27   50.0    3.0
 8 2808.11  296.38   32.9   47.3  0.185   0.59 55.62 -3808.26 11 2804.58 291.46 2811.33 301.32   11.9    4.3
 9 3711.33  337.97  107.3  109.3  0.113   0.53 77.10 -15863.28 10 3706.83 318.07 3715.74 356.97   39.9    3.0
10 3727.28  436.35  540.0  408.9  0.041   0.58 79.82 -20318.30 12 3713.48 361.48 3741.78 519.05  160.1    3.4
11 2824.88  407.24   37.0   50.0  0.186   0.61 69.60 -7188.16 14 2821.66 397.36 2827.89 414.09   17.8    2.1
12 3855.35  992.41 6682.5 3696.7  0.006   0.57 73.71 -12201.39 25 3708.53 490.81 4038.77 1621.01 1177.5    7.5
13 1512.14  510.35   57.5   88.0  0.093   0.65 77.14 -6113.80 16 1508.63 494.42 1515.54 524.69   31.0    2.7
14 2852.52  577.18   57.2   82.5  0.106   0.64 74.55 -9746.12 15 2848.95 564.32 2856.49 591.61   28.3    2.8
15 2864.79  653.43   30.7   55.8  0.124   0.60 75.49 -10413.77 19 2862.31 643.00 2867.60 663.44   21.1    1.7
16 1541.18  698.86   28.7   45.3  0.176   0.51 54.93 -1496.09 23 1537.88 694.19 1543.95 702.83   10.6    4.7
17 1627.35 1237.61   15.2   32.1  0.185   0.55 18.38  696.64 -1 1628.01 1237.73 1625.08 1236.76    3.1    5.5
18 2972.82 1314.18   12.3   28.1  0.196   0.59 38.01 -1010.19 26 2972.20 1312.77 2974.26 1314.38    2.6    3.6
19 3310.50 1336.46   38.4   51.5  0.182   0.55 53.05 -3065.45 21 3307.50 1332.50 3313.41 1340.35    9.8    3.9
20 2981.29 1368.48   20.7   37.8  0.182   0.52 71.43 -7506.19 22 2979.02 1361.62 2983.52 1375.03   14.1    1.6
21 3326.68 1423.42   31.7   67.0  0.089   0.54 73.44 -9766.91 24 3323.70 1412.71 3330.13 1434.36   22.6    1.9
22 2993.44 1443.03   34.6   50.8  0.169   0.51 63.21 -4487.25 26 2990.33 1436.00 2996.80 1448.81   14.4    3.3
23 1684.84 1587.25   29.9   55.0  0.124   0.61 74.85 -4634.60 -1 1682.27 1578.09 1687.72 1598.24   20.9    2.0
24 3356.15 1599.13   25.1   50.3  0.124   0.72 74.67 -10640.45 26 3353.83 1590.33 3358.92 1608.88   19.2    1.3
25 4196.93 1846.20   36.1   55.6  0.147   0.53 75.08 -13901.52 -1 4194.19 1836.02 4199.78 1856.98   21.7    1.8
26 3396.97 1852.78   11.3   26.9  0.196   0.52 59.08 -3817.61 27 3395.16 1850.03 3398.99 1856.43    7.5    2.2
27 3445.59 2160.98   93.1  106.6  0.103   0.54 77.49 -13366.34 28 3440.68 2138.89 3450.10 2181.34   43.5    2.4
28 3451.32 2192.44   20.2   42.4  0.142   0.51 66.86 -5885.24 29 3448.27 2185.22 3453.52 2197.51   13.4    1.9
29 3473.85 2336.53   16.8   36.2  0.161   0.56 56.16 -2844.42 30 3470.92 2332.68 3475.56 2339.60    8.3    3.0
30 3503.23 2511.77   22.8   38.3  0.196   0.52 63.66 -4563.21 31 3500.64 2505.90 3505.75 2516.22   11.5    3.3
31 3509.64 2553.09   27.2   51.0  0.132   0.60 71.27 -7798.30 32 3507.33 2545.91 3512.68 2561.68   16.7    2.5
32 3540.87 2743.23   68.0   71.0  0.169   0.55 71.59 -7892.54 33 3536.95 2732.04 3544.69 2755.29   24.5    3.5
33 3575.69 2968.56   34.7   55.7  0.141   0.53 74.94 -10322.32 -1 3572.75 2958.57 3578.33 2979.30   21.5    1.4
34  976.79 3048.78   15.0   35.0  0.154   0.56 38.34 2276.89 -1 974.77 3047.94 978.31 3050.74    4.5    5.1
35 1005.90 3232.33   30.8   59.0  0.111   0.60 76.71 -1025.90 -1 1003.60 3222.67 1008.70 3244.25   22.2    1.7
36 2000.19 3636.88   45.8   62.4  0.148   0.53 63.91 -448.54 -1 1996.22 3628.56 2003.73 3643.89   17.1    3.6
